,EIN,X__1,NAME.x,NAME.y,ICO,STREET,CITY,STATE,ZIP,tax_prd,subseccd,s501c3or4947a1cd,sepcnsldtfinstmtcd,sepindaudfinstmtcd,invstproceedscd,recvnoncashcd,noemplyeesw3cnt,unrelbusinccd,solicitcntrbcd,totcomprelatede,totcntrbgfts,totprgmrevnue,invstmntinc,txexmptbndsproceeds,royaltsinc,netgnls,netincfndrsng,netincgaming,netincsales,miscrevtot11e,totrevenue,grntstogovt,grnsttoindiv,grntstofrgngovt,benifitsmembrs,compnsatncurrofcr,compnsatnandothr,othrsalwages,pensionplancontrb,othremplyeebenef,profndraising,totfuncexpns,nonintcashend,svngstempinvend,pldgegrntrcvblend,accntsrcvblend,notesloansrcvblend,invntriesalesend,prepaidexpnsend,lndbldgsequipend,invstmntsend,invstmntsothrend,invstmntsprgmend,intangibleassetsend,othrassetsend,totassetsend,accntspayableend,grntspayableend,deferedrevnuend,txexmptbndsend,escrwaccntliabend,secrdmrtgsend,othrliabend,totliabend,unrstrctnetasstsend,temprstrctnetasstsend,permrstrctnetasstsend,totnetassetend,totnetliabastend,gftgrntsrcvd170,totgftgrntrcvd509
1,10496860,420,PORTLAND OPERA REPERTORY THEATRE,PORTLAND OPERA REPERTORY THEATRE,NA,PO BOX 7733,PORTLAND,ME,04112-7733,201309,3,N,N,N,N,N,2,N,N,0,173312,197048,0,0,0,0,31936,0,0,86,402382,0,0,0,0,19500,0,33000,0,1125,0,378600,13716,80477,0,11596,0,0,0,0,0,0,0,0,1245,107034,3774,0,0,0,0,119911,2,123687,0,0,0,-16653,107034,883367,0
2,10526734,345,OPERA HOUSE ARTS,OPERA HOUSE ARTS,% JENNIFER MORROW,PO BOX 56,STONINGTON,ME,04681-0056,201310,3,N,N,N,N,Y,56,N,N,0,343782,304599,3485,0,0,0,42361,0,8129,990,703346,0,0,0,0,0,0,283871,1248,16941,0,693662,3935,23855,32950,435,0,7779,1809,936061,110508,0,0,0,110634,1227966,38750,0,0,0,9325,173180,0,221255,813205,133156,60350,1006711,1227966,0,1680831
3,10528754,496,THE OPERA HOUSE AT BOOTHBAY HARBOR,THE OPERA HOUSE AT BOOTHBAY HARBOR,NA,PO BOX 800,BOOTHBAY HBR,ME,04538-0800,201312,3,Y,N,N,N,N,3,Y,N,0,153422,221210,4734,0,0,-12147,4326,0,0,6239,383579,0,0,0,0,0,0,121535,0,8837,0,420446,1000,333098,0,0,0,0,3750,1971359,472501,0,0,0,0,2781708,3846,0,0,0,0,0,0,3846,2026646,751216,0,2777862,2781708,1966982,0
5,20448277,210,LEBANON OPERA HOUSE IMPROVEMENT CORPORATION,LEBANON OPERA HOUSE IMPROVEMENT CORPORATION,% COMPUCOUNT INC,PO BOX 384,LEBANON,NH,03766-0384,201306,3,Y,N,Y,N,N,42,Y,N,0,208284,555903,0,0,0,0,0,0,0,8223,772410,0,0,0,0,52543,0,136162,0,21718,0,736561,21957,0,70970,0,0,0,2829,213922,0,0,0,0,0,309678,71115,0,11519,0,0,0,0,82634,156074,70970,0,227044,309678,0,820496
9,30270440,31,BARRE OPERA HOUSE INC,BARRE OPERA HOUSE INC,NA,PO BOX 583,BARRE,VT,05641-0583,201406,3,Y,N,N,N,N,4,N,N,0,60341,293323,41680,0,0,0,0,0,6359,11134,412837,0,0,0,0,60223,56194,0,0,3085,0,384249,49880,43033,0,0,0,0,0,185013,0,297393,0,0,0,575319,0,0,0,0,0,0,3803,3803,571516,0,0,571516,575319,366380,0
10,30500788,25,ASH LAWN OPERA,ASH LAWN OPERA,NA,226 E HIGH ST,CHARLOTTESVLE,VA,22902-5177,201312,3,Y,N,N,N,N,3,N,N,0,403054,298259,3,0,0,0,9379,0,0,0,710695,0,0,0,0,0,0,156693,0,8296,0,679993,141493,5533,0,0,0,0,24221,18922,0,0,0,0,0,190169,0,0,15625,0,0,0,4330,19955,170214,0,0,170214,190169,1517071,0
11,42469627,44,BOSTON LYRIC OPERA COMPANY,BOSTON LYRIC OPERA COMPANY,NA,11 AVENUE DE LAFAYETTE,BOSTON,MA,02111-1883,201306,3,Y,Y,Y,N,Y,281,N,N,0,12549145,1641352,100009,0,0,42386,-116651,0,0,71382,14287623,0,0,0,0,349888,0,2185060,13184,241439,29425,6850813,689500,455020,7956359,0,0,0,174228,117001,4074455,0,0,0,26803,13493366,197983,0,847493,0,0,0,38829,1084305,507748,4489906,7411407,12409061,13493366,31864543,0
12,42505806,81,COLLEGE LIGHT OPERA COMPANY INC,COLLEGE LIGHT OPERA COMPANY INC,NA,PO BOX 906,FALMOUTH,MA,02541-0906,201312,3,Y,N,Y,N,N,49,N,N,0,285138,368752,48363,0,0,0,0,0,0,0,702253,0,0,0,0,130728,0,97125,0,0,0,625381,35228,278659,0,0,0,0,0,908994,810019,0,0,0,0,2032900,0,0,0,0,0,0,0,0,1690724,113164,229012,2032900,2032900,0,1186045
14,42621713,364,OPERA NEW ENGLAND OF CAPE COD INC,OPERA NEW ENGLAND OF CAPE COD INC,NA,347 WHEELER RD,MARSTONS MLS,MA,02648-1134,201405,3,Y,N,N,N,N,0,N,N,0,595,412,0,0,0,0,0,0,0,223,1230,0,0,0,0,0,0,0,0,0,0,3864,2598,107530,0,4,0,0,0,0,0,0,0,0,0,110132,0,0,0,0,0,0,0,0,0,0,0,110132,110132,0,24605
15,42704827,43,"BOSTON EARLY MUSIC FESTIVAL, INC.",BOSTON EARLY MUSIC FESTIVAL INC,NA,43 THORNDIKE ST STE 302,CAMBRIDGE,MA,02141-1762,201306,3,Y,N,Y,N,N,7,N,N,0,1423829,1252170,466,0,0,0,0,0,0,0,2676465,0,0,0,0,113727,318879,0,0,50774,0,2985103,125811,80242,245425,2700,0,78661,58062,5820,0,0,0,0,0,596721,545104,0,0,0,0,0,2489,1341093,-744372,0,0,-744372,596721,6560844,0
